User,Text,Alegria,Raiva,Tristeza,Medo,Nojo,Surpresa,Neutro,Foi Dificil,Facil,Nenhum nem Outro
avaliador_1,"A disney pôs as séries que davam antes noutro canal, e agora nao paro de ver ",False,False,False,False,False,False,True,False,True,False
avaliador_1,"Bora exercitar, principalmente, porque. É SEXTA!!!  &lt3 ",True,False,False,False,False,False,False,False,True,False
avaliador_1,"  ahahahah os SMS já teriam saído, certamente ",True,False,False,False,False,False,False,False,True,False
avaliador_1,   Kkkkkkkkkkkkk tipo eu quando ce manda foto  ,True,False,False,False,False,False,False,False,True,False
avaliador_1,Essa semana consegui completar dois cursos um dos objetivos da semana alcancei  ,True,False,False,False,False,False,False,False,True,False
avaliador_1,Enciende tu animo para aprender  Dianglish School. Whatsapp 5563321334 Página web ,False,False,False,False,False,False,True,False,True,False
avaliador_1,detalhe que eu sai e minha irma disse que ele falou que volta hoje  to rindo de nervoso,False,False,False,True,False,False,False,False,True,False
avaliador_1," exceto parafusos maiores tipo de móveis, nestes casos tem que ser fenda mesmo P",False,False,False,False,False,False,True,False,True,False
avaliador_1, Conduzir um triciclo desses não deve ser difícil p jk bb,False,False,False,False,True,False,False,False,False,True
avaliador_1, Bom dia Caio! Que bom que curti  ,False,False,False,False,False,False,True,False,True,False
avaliador_1,Sempre te vejo nos rolê e você tem cara de 11 anos — isso eh ruim agora mas qnd eu tiver 40 vou ter carinha se 29  ,True,False,False,False,False,False,False,False,True,False
avaliador_1,"FEMINICÍDIO Algumas considerações sobre o assunto. Veja e compartilhe!  Tem mais video no meu canal, que está na descrição do meu perfil aqui no FB. ",False,False,False,False,False,False,True,False,True,False
avaliador_1,eu sempre demonstro para TODOS q nao precisa de bebida p se divertir ,True,False,False,False,False,False,False,False,False,True
avaliador_1,Não consigo dirigir e não me estressar ,False,True,False,False,False,False,False,False,True,False
avaliador_1,"   nossa, grande argumento esse seu em kkkkkkk daqui a pouco faz 8 e um jogo e vc fica queta ",True,False,False,False,False,False,False,False,False,True
avaliador_1, Ficaria desiludida se te dissesse que existem zonas que a nowo utiliza o mesmo cabeamento que a meo ,False,False,False,False,False,False,True,False,False,True
avaliador_1,"Vídeo novo no canal meus amores, espero que gostem  ",False,False,False,False,False,False,True,False,True,False
avaliador_1," é agora, derruba essa tia do café.  ",True,False,False,False,False,False,False,False,False,True
avaliador_1,pelas coisas que eu ouco eu devia ser uma pessoa dotada de paciencia mas infelizmente o criador nao quis ,False,True,False,False,False,False,False,False,True,False
avaliador_1,perdi o bus pq meu pai fez eu lavar a louça ,False,True,False,False,False,False,False,False,True,False
avaliador_1, Obrigada de verdade e te digo o mesmo ,False,False,False,False,False,False,True,False,True,False
avaliador_1, Se isso te faz feliz eu tambem fico feliz minha linda ,True,False,False,False,False,False,False,False,True,False
avaliador_1," nao, nao acho que seja igual. mas tu é no minimo ingenua de achar que nao é parecido. se ele tem filtro NO FACEBOOK é pq se orgulha. mas enfim, eu tb nao acreditava quando me falaram e nao espero q tu acredite. só espero q n ocorra o mesmo q rolou comigo ",False,True,False,False,False,False,False,False,True,False
avaliador_1,"    Amas chacota é tu que veio no tweet de uma Army comentar bosta, tem biscoito aqui não baby. ",False,True,False,False,False,False,False,False,True,False
avaliador_1,Só queria ser universitária ainda para p,False,False,True,False,False,False,False,False,True,False
avaliador_1,  A dormir  o te acuso con papa,False,False,False,False,False,False,True,False,False,True
avaliador_1,  muitas viagens pra gente sim. E muito amor dos nossos amores coreaninhos. E só mais duas semanas pra gente poder curtir juntas e com mais tatuagens hohohohoho ,True,False,False,False,False,False,False,False,False,True
avaliador_1,"  Suponho que você não saiba nada sobre câncer de próstata ou o mecanismo de produção de espermatozoides, não? ",False,True,False,False,False,False,False,True,False,False
avaliador_1, ele escreve muito bem e parece ter um coração muito bom  que amizade linda,True,False,False,False,False,False,False,False,True,False
avaliador_1,"Esbardalheime ao sair da piscina, fodi o joelho e toda a gente viu ",False,False,True,False,False,False,False,False,False,True
avaliador_1,dessa vez nem da p anunciar e falar que os cara n veio por causa da chuva p,False,True,False,False,False,False,False,False,True,False
avaliador_1, Eu ainda não entendi oq o anon quis dizer v interpretei da melhor forma com doce ,False,False,False,False,False,False,True,True,False,False
avaliador_1," Uou , não deixa de ter importância ‍ a miúda é professora de dança aos 16 , e tu o que fazes p?",False,True,False,False,False,False,False,False,False,True
avaliador_1,Adoramos estalinhos no ouvido ,False,True,False,False,False,False,False,False,False,True
avaliador_1," Galera qual foi a primeira Farm que vocês fizeram no mundo de vocês ? A minha foi essa Farm de cana tá insana Link  , compartilhe para um amigo  ",False,False,False,False,False,False,True,True,False,False
avaliador_1,DESGARRADA de RIR ATÉ CHORAR   Maria Celeste e Borguinha! 2ª Parte ,False,False,False,False,False,False,True,False,True,False
avaliador_1," Com certeza poderia. A atuação dele poderia ser maravilhosa, mas não consigo ver ele tendo tanta química com a Ju quanto o Nicolas. De qualquer forma, foi por isso que eu enfatizei que essa é apenas a minha opinião, não um fato ",False,False,False,False,False,False,True,True,False,False
avaliador_1, ela vai lança música nova mês que vem ,False,False,False,False,False,False,True,False,True,False
avaliador_1,eu to no 220 ligada com tudo que ta acontecendo ai papai segura eu ,True,False,False,False,False,False,False,False,True,False
avaliador_1,"Se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos? — Mais desejos  ",False,False,False,False,False,False,True,False,True,False
avaliador_1,"tenho uma rede em casa agr, to mt feliz ",True,False,False,False,False,False,False,False,True,False
avaliador_1, Sabeees p Ahah pode ser que um dia consiga xb,False,False,False,False,False,False,True,False,True,False
avaliador_1,"ninguém pediu, mas terminando de fazer a sequência de imagens de caminho suave, farei com as garrafinhas 'nacionais' que tenho P",False,False,False,False,False,False,True,False,True,False
